GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
minicp:minicp,minicp.engine.constraints,NotEqual,10,74,1,5,1,18,1,6,0,4
minicp:minicp,minicp.engine.constraints,Or,3,36,0,0,2,7,1,2,1,2
minicp:minicp,minicp.engine.constraints,Cumulative,69,96,7,5,12,17,5,8,1,6
minicp:minicp,minicp.engine.constraints,Element2D.Triple,0,18,0,0,0,6,0,2,0,2
minicp:minicp,minicp.engine.constraints,Element1DDomainConsistent,0,19,0,0,0,6,0,2,0,2
minicp:minicp,minicp.engine.constraints,MaximumMatching,218,165,34,12,36,31,22,7,4,2
minicp:minicp,minicp.util.exception,IntOverFlowException,10,4,0,0,1,2,1,1,1,1
minicp:minicp,minicp.util.exception,NotImplementedException,17,7,0,0,2,4,1,2,1,2
minicp:minicp,minicp.util.exception,InconsistencyException,2,10,0,0,1,3,1,3,1,3
minicp:minicp,minicp.util,GraphUtil.new GraphUtil.Graph() {...},9,11,0,0,2,2,2,2,2,2
minicp:minicp,minicp.util,GraphUtil,3,196,0,24,1,45,1,19,1,7
minicp:minicp,minicp.util.io,InputReader,198,0,24,0,49,0,17,0,5,0
minicp:minicp,minicp.state,TrailMap,17,0,0,0,4,0,3,0,3,0
minicp:minicp,minicp.state,StateInterval,176,0,14,0,29,0,20,0,13,0
minicp:minicp,minicp.state,Trail.TrailStateEntry,0,16,0,0,0,5,0,2,0,2
minicp:minicp,minicp.state,CopyInt,0,5,0,0,0,2,0,1,0,1
minicp:minicp,minicp.state,Copier.Backup,0,48,0,4,0,9,0,4,0,2
minicp:minicp,minicp.state,Trailer.Backup,0,12,0,2,0,5,0,3,0,2
minicp:minicp,minicp.state,Copy,4,21,0,0,1,7,1,4,1,4
minicp:minicp,minicp.state,Trailer,18,111,1,3,5,31,3,12,2,11
minicp:minicp,minicp.state,StateSparseBitSet,53,155,4,8,5,24,4,9,2,5
minicp:minicp,minicp.state,Trail,10,55,0,4,1,16,1,6,1,4
minicp:minicp,minicp.state,Copier,28,92,1,3,8,27,4,10,3,9
minicp:minicp,minicp.state,StateStack,7,45,1,1,0,11,1,4,0,4
minicp:minicp,minicp.state,Copy.CopyStateEntry,0,16,0,0,0,5,0,2,0,2
minicp:minicp,minicp.state,CopyMap,29,0,0,0,7,0,5,0,5,0
minicp:minicp,minicp.state,StateInt,0,24,0,0,0,2,0,2,0,2
minicp:minicp,minicp.state,StateSparseBitSet.BitSet,86,24,6,0,9,5,6,2,3,2
minicp:minicp,minicp.state,StateSparseSet,107,465,30,56,14,94,29,35,1,20
minicp:minicp,minicp.state,TrailInt,0,6,0,0,0,2,0,1,0,1
minicp:minicp,minicp.state,StateLazySparseSet,3,0,0,0,1,0,1,0,1,0
